Model,Horizon,Target,MAE,RMSE,R2
Persistence,1h,pm2_5,1.453,3.393,0.996
Persistence,1h,pm10,1.14,3.132,0.995
Persistence,6h,pm2_5,6.794,12.372,0.947
Persistence,6h,pm10,5.259,10.955,0.938
Persistence,12h,pm2_5,12.004,20.299,0.856
Persistence,12h,pm10,9.317,17.818,0.836
Persistence,24h,pm2_5,20.381,31.8,0.644
Persistence,24h,pm10,15.588,27.059,0.626
HistoricalAvg,1h,pm2_5,1.363,3.369,0.996
HistoricalAvg,1h,pm10,1.081,3.128,0.995
HistoricalAvg,6h,pm2_5,6.785,12.373,0.947
HistoricalAvg,6h,pm10,5.253,10.959,0.938
HistoricalAvg,12h,pm2_5,12.004,20.298,0.856
HistoricalAvg,12h,pm10,9.318,17.817,0.836
HistoricalAvg,24h,pm2_5,20.348,31.767,0.645
HistoricalAvg,24h,pm10,15.577,27.026,0.627
LSTM,1h,pm2_5,1.477,3.389,0.996
LSTM,1h,pm10,1.176,3.133,0.995
LSTM,6h,pm2_5,6.914,12.341,0.947
LSTM,6h,pm10,5.439,10.916,0.938
LSTM,12h,pm2_5,12.094,20.162,0.858
LSTM,12h,pm10,9.453,17.594,0.84
LSTM,24h,pm2_5,20.295,31.322,0.655
LSTM,24h,pm10,15.663,26.745,0.634
CNN-LSTM,1h,pm2_5,1.608,3.484,0.996
CNN-LSTM,1h,pm10,1.256,3.165,0.995
CNN-LSTM,6h,pm2_5,6.964,12.421,0.946
CNN-LSTM,6h,pm10,5.597,10.972,0.938
CNN-LSTM,12h,pm2_5,12.249,20.322,0.855
CNN-LSTM,12h,pm10,9.541,17.706,0.838
CNN-LSTM,24h,pm2_5,20.104,31.332,0.654
CNN-LSTM,24h,pm10,15.71,26.878,0.631
WM-STGN-ens3,1h,pm2_5,1.489,3.337,0.996
WM-STGN-ens3,1h,pm10,1.227,3.151,0.995
WM-STGN-ens3,6h,pm2_5,6.711,11.704,0.952
WM-STGN-ens3,6h,pm10,5.338,10.63,0.941
WM-STGN-ens3,12h,pm2_5,11.741,18.914,0.875
WM-STGN-ens3,12h,pm10,9.383,16.969,0.851
WM-STGN-ens3,24h,pm2_5,19.44,29.236,0.699
WM-STGN-ens3,24h,pm10,15.308,25.096,0.678
WA-STGN-best,1h,pm2_5,1.547,3.376,0.996
WA-STGN-best,1h,pm10,1.258,3.172,0.995
WA-STGN-best,6h,pm2_5,6.733,11.758,0.952
WA-STGN-best,6h,pm10,5.439,10.714,0.94
WA-STGN-best,12h,pm2_5,11.749,18.969,0.874
WA-STGN-best,12h,pm10,9.555,17.266,0.846
WA-STGN-best,24h,pm2_5,19.616,29.399,0.696
WA-STGN-best,24h,pm10,15.406,25.454,0.669
