sc,tc,ed,lr,wd,gc,mp,bs,ep,val_loss,test_mae,time_s
8,16,4,0.001,0.0001,5,0.0,32,80,1.1549954414367676,9.404779732227325,118.00400400161743
8,16,4,0.001,0.0001,5,0.15,32,80,1.158267855644226,9.265765026211739,117.73340177536011
8,16,8,0.001,0.0001,5,0.15,32,80,1.1579253673553467,9.334681302309036,117.68046426773071
8,16,4,0.001,0.001,5,0.0,32,80,1.1695551872253418,9.310635834932327,117.13260984420776
8,16,4,0.002,0.0001,5,0.0,32,80,1.1700719594955444,9.714630618691444,117.12780904769897
8,16,4,0.001,0.0001,1,0.0,32,100,1.1688075065612793,9.238282591104507,146.40308785438538
12,24,6,0.001,0.0001,5,0.15,32,80,1.1718025207519531,9.144660592079163,125.53298497200012
12,24,6,0.0008,0.0005,5,0.1,32,100,1.1748535633087158,9.025246351957321,157.07838368415833
16,32,4,0.001,0.0001,5,0.15,32,80,1.174424409866333,9.27173762023449,128.90816807746887
16,32,8,0.001,0.0001,5,0.15,32,80,1.173165202140808,9.032346546649933,129.09242987632751
16,32,4,0.0005,0.0001,5,0.15,16,100,1.1740870475769043,9.273052021861076,173.18498396873474
24,48,6,0.001,0.0001,5,0.15,32,80,1.1889793872833252,9.252403542399406,145.1481900215149
24,48,8,0.0008,0.0005,3,0.1,32,100,1.1840740442276,9.137450367212296,181.23082518577576
32,64,8,0.001,0.0005,3,0.15,32,80,1.1844459772109985,9.108281150460243,159.94041538238525
32,64,8,0.001,0.0005,3,0.2,32,80,1.1853944063186646,9.421748325228691,159.63785862922668
32,64,8,0.001,0.0005,3,0.25,32,80,1.18035089969635,9.17192305624485,159.86014604568481
8,16,4,0.0003,0.0001,5,0.0,32,120,1.1973752975463867,9.155753210186958,175.75944328308105
16,32,4,0.0003,0.0001,5,0.15,32,120,1.1825995445251465,8.912989184260368,193.44963216781616
8,16,4,0.0005,0.0001,5,0.15,16,100,1.1641566753387451,9.139926016330719,155.44539189338684
12,24,6,0.0005,0.0005,3,0.25,32,100,1.16570246219635,9.272466883063316,157.0793387889862
