sc,tc,ed,lr,wd,gc,mp,bs,ep,val_loss,test_mae,time_s
8,16,4,0.001,0.0001,5,0.0,32,80,1.189353585243225,9.127280458807945,107.84732699394226
8,16,4,0.001,0.0001,5,0.15,32,80,1.1661714315414429,9.26976190507412,107.97815203666687
8,16,8,0.001,0.0001,5,0.15,32,80,1.1676071882247925,8.909483954310417,107.95207786560059
8,16,4,0.001,0.001,5,0.0,32,80,1.177198052406311,9.254885196685791,107.61768913269043
8,16,4,0.002,0.0001,5,0.0,32,80,1.1668099164962769,8.852204382419586,107.60133814811707
8,16,4,0.001,0.0001,1,0.0,32,100,1.1557376384735107,8.939418882131577,134.46826720237732
12,24,6,0.001,0.0001,5,0.15,32,80,1.172719955444336,8.929854467511177,117.60525298118591
12,24,6,0.0008,0.0005,5,0.1,32,100,1.1489273309707642,9.26282486319542,146.94741415977478
16,32,4,0.001,0.0001,5,0.15,32,80,1.1819831132888794,8.977299153804779,122.7875018119812
16,32,8,0.001,0.0001,5,0.15,32,80,1.1754142045974731,9.041193634271622,122.43547415733337
16,32,4,0.0005,0.0001,5,0.15,16,100,1.1608341932296753,9.136172875761986,164.0416660308838
24,48,6,0.001,0.0001,5,0.15,32,80,1.1831059455871582,9.03246945142746,140.28788590431213
24,48,8,0.0008,0.0005,3,0.1,32,100,1.1731549501419067,9.53716130554676,175.72286009788513
32,64,8,0.001,0.0005,3,0.15,32,80,1.177830457687378,8.939492478966713,155.68329429626465
32,64,8,0.001,0.0005,3,0.2,32,80,1.1819939613342285,9.177963376045227,155.42162799835205
32,64,8,0.001,0.0005,3,0.25,32,80,1.198432445526123,9.293810054659843,155.5136148929596
8,16,4,0.0003,0.0001,5,0.0,32,120,1.1739227771759033,8.991342395544052,161.19628310203552
16,32,4,0.0003,0.0001,5,0.15,32,120,1.1767995357513428,9.12197695672512,183.70643377304077
8,16,4,0.0005,0.0001,5,0.15,16,100,1.1651393175125122,9.331815868616104,151.25373697280884
12,24,6,0.0005,0.0005,3,0.25,32,100,1.1744638681411743,8.904848918318748,147.10679507255554
