timestamp,pm2_5,pm10,co,no2,so2,o3,nh3,temperature,relative_humidity,wind_speed,surface_pressure,precipitation,wind_u,wind_v,hour_sin,hour_cos,dow_sin,dow_cos,city
2025-11-30 13:00:00+00:00,100.0,74.0,19.0,23.0,15.0,4.0,2.0,24.9,89.0,23.3,1006.8,0.5,23.172360162080768,2.435513194136326,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 14:00:00+00:00,100.0,74.0,19.0,23.0,15.0,4.0,2.0,25.0,87.0,22.5,1007.6,0.1,22.086611627572438,4.2932023959722585,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 15:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,25.0,87.0,22.0,1008.3,0.2,21.78589751231455,3.0618082211214395,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 16:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,25.0,87.0,22.0,1008.0,0.3,21.78589751231455,3.0618082211214395,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 17:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,25.2,88.0,22.1,1007.6,0.2,20.895960520744904,7.195056213503164,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 18:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,24.5,93.0,20.1,1007.4,1.9,19.950177647990575,2.4495738024434646,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 19:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,24.4,94.0,20.9,1006.7,2.0,20.8872682846991,0.7293994810822702,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 20:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,24.5,92.0,20.2,1005.9,0.9,20.187694705785734,-0.7049698333905167,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 21:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,24.0,96.0,18.3,1005.2,1.8,17.830972185569802,-4.116604294492736,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,Chennai
2025-11-30 22:00:00+00:00,100.0,74.0,18.0,22.0,15.0,3.0,2.0,23.7,97.0,19.9,1004.8,2.7,19.129107749172544,-5.485183380758278,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,Chennai
