timestamp,pm2_5,pm10,co,no2,so2,o3,nh3,temperature,relative_humidity,wind_speed,surface_pressure,precipitation,wind_u,wind_v,hour_sin,hour_cos,dow_sin,dow_cos,city
2025-11-30 13:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,12.9,97.0,1.8,858.7,0.0,1.8,-4.4087284769304716e-16,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 14:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,12.8,97.0,1.6,859.3,0.0,-2.9391523179536476e-16,-1.6,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 15:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,12.9,96.0,3.2,859.5,0.0,-0.8820395386143964,-3.076037427002621,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 16:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,13.1,93.0,3.6,859.7,0.0,-1.1124611797498112,-3.4238034586625528,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 17:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,11.5,96.0,3.2,858.9,0.0,-1.4527695991665504,-2.851220877402777,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 18:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,11.6,98.0,1.7,859.2,0.0,-0.38241679238457094,-1.6564291101348998,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 19:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,10.7,100.0,3.8,858.2,0.0,-1.6059493946146568,-3.44396959073927,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 20:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,10.8,100.0,6.1,857.7,0.0,-2.8637765329939335,-5.385980316439454,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 21:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,10.7,99.0,5.7,857.3,0.0,-3.0205398061292685,-4.8338741480916285,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 22:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,10.2,100.0,5.3,857.0,0.0,-2.886586885579643,-4.444954010110748,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,Shillong
2025-11-30 23:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,9.9,99.0,4.5,856.7,0.0,-2.7081676041842173,-3.5938597952128175,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,Shillong
2025-12-01 00:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,11.5,99.0,3.2,858.2,0.0,-1.970116721042106,-2.521634411541511,0.0,1.0,0.0,1.0,Shillong
2025-12-01 01:00:00+00:00,1.0,16.0,3.0,1.0,6.0,9.0,,11.4,99.0,5.4,858.8,0.0,-4.136639992842482,-3.4710530923073124,0.25881904510252074,0.9659258262890683,0.0,1.0,Shillong
2025-12-01 02:00:00+00:00,1.0,17.0,7.0,1.0,6.0,6.0,,12.3,95.0,4.6,859.5,0.0,-4.294469961887128,-1.648492567908382,0.49999999999999994,0.8660254037844387,0.0,1.0,Shillong
2025-12-01 03:00:00+00:00,1.0,17.0,7.0,1.0,6.0,6.0,,15.2,75.0,2.4,861.1,0.0,-1.4106846055019353,1.9416407864998737,0.7071067811865475,0.7071067811865476,0.0,1.0,Shillong
